aa,Afaraf (Afar)
ab,Аҧсуа (Abkhazian)
ae,Avesta (Avestan)
af,Afrikaans (Afrikaans)
ak,Akan (Akan)
am,አማርኛ (Amharic)
an,Aragonés (Aragonese)
ar,‫العربية (Arabic)
as,অসমীয়া (Assamese)
av,авар мацӀ ; магӀарул мацӀ (Avaric)
ay,Aymar aru (Aymara)
az,Azərbaycan dili (Azerbaijani)
ba,башҡорт теле (Bashkir)
be,Беларуская (Belarusian)
bg,български език (Bulgarian)
bh,भोजपुरी (Bihari)
bi,Bislama (Bislama)
bm,Bamanankan (Bambara)
bn,বাংলা (Bengali)
bo,བོད་ཡིག (Tibetan)
br,Brezhoneg (Breton)
bs,Bosanski jezik (Bosnian)
ca,Català (Catalan)
ce,нохчийн мотт (Chechen)
ch,Chamoru (Chamorro)
co,Corsu ; lingua corsa (Corsican)
cr,ᓀᐦᐃᔭᐍᐏᐣ (Cree)
cs,Česky ; čeština (Czech)
cu,Словѣньскъ (Old Church Slavonic)
cv,чӑваш чӗлхи (Chuvash)
cy,Cymraeg (Welsh)
da,Dansk (Danish)
de,Deutsch (German)
dv,‫ދިވެހި (Divehi)
dz,རྫོང་ཁ (Dzongkha)
ee,Ɛʋɛgbɛ (Ewe)
el,Ελληνικά (Greek)
en,English (English)
eo,Esperanto (Esperanto)
es,Español; castellano (Spanish)
et,Eesti keel (Estonian)
eu,Euskara (Basque)
fa,‫فارسی (Persian)
ff,Fulfulde (Fulah)
fi,Suomen kieli (Finnish)
fj,Vosa Vakaviti (Fijian)
fo,Føroyskt (Faroese)
fr,Français (French)
fy,Frysk (Western Frisian)
ga,Gaeilge (Irish)
gd,Gàidhlig (Scottish Gaelic)
gl,Galego (Galician)
gn,Avañe'ẽ (Guarani)
gu,ગુજરાતી (Gujarati)
gv,Ghaelg (Manx)
ha,‫هَوُسَ (Hausa)
he,‫עברית (Hebrew)
hi,हिन्दी ; हिंदी (Hindi)
ho,Hiri Motu (Hiri Motu)
hr,Hrvatski (Croatian)
ht,Kreyòl ayisyen (Haitian)
hu,magyar (Hungarian)
hy,Հայերեն (Armenian)
hz,Otjiherero (Herero)
ia,Interlingua (Interlingua)
id,Bahasa Indonesia (Indonesian)
ie,Interlingue (Interlingue)
